"Timestamp"	"Prolific_ID"	"Consent"	"cond"	"response"	"Normal_Utt"	"Normal_Utt_latinized"	"Normal_Utt_gloss"	"Specificity"
"10/13/2020 18:51:53"	"5d2c809ea0580000194a22b2"	"Я согласен/на"	"target_f5"	"mizinets"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 18:51:53"	"5d2c809ea0580000194a22b2"	"Я согласен/на"	"target_h5"	"mizintse"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 18:53:42"	"5f0d3dcfea0f1a76189e63ab"	"Я согласен/на"	"target_f4"	"пальце левой ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 18:53:42"	"5f0d3dcfea0f1a76189e63ab"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 18:53:42"	"5f0d3dcfea0f1a76189e63ab"	"Я согласен/на"	"target_h1"	"большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 18:53:42"	"5f0d3dcfea0f1a76189e63ab"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 18:53:42"	"5f0d3dcfea0f1a76189e63ab"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 18:53:42"	"5f0d3dcfea0f1a76189e63ab"	"Я согласен/на"	"target_h5"	"мизинце левой руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 18:59:50"	"5f4f9a301e17bf06c1ce2ba6"	"Я согласен/на"	"target_f4"	"Палец на ноге"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 18:59:50"	"5f4f9a301e17bf06c1ce2ba6"	"Я согласен/на"	"target_h4"	"Безымянный палец"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 18:59:50"	"5f4f9a301e17bf06c1ce2ba6"	"Я согласен/на"	"target_h1"	"Большой палец "	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 18:59:50"	"5f4f9a301e17bf06c1ce2ba6"	"Я согласен/на"	"target_f5"	"Маленький мальчик "	"маленький пальчик"	"malen'kiĭ pal'chik"	"small finger"	1
"10/13/2020 18:59:50"	"5f4f9a301e17bf06c1ce2ba6"	"Я согласен/на"	"target_h5"	"Мизинец "	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 19:06:55"	"5c17a92da13b830001a82e75"	"Я согласен/на"	"target_f4"	"palce"	"палец"	"palets"	"finger"	0
"10/13/2020 19:06:55"	"5c17a92da13b830001a82e75"	"Я согласен/на"	"target_h4"	"palce"	"палец"	"palets"	"finger"	0
"10/13/2020 19:06:55"	"5c17a92da13b830001a82e75"	"Я согласен/на"	"target_h1"	"palce"	"палец"	"palets"	"finger"	0
"10/13/2020 19:06:55"	"5c17a92da13b830001a82e75"	"Я согласен/на"	"target_f1"	"palce"	"палец"	"palets"	"finger"	0
"10/13/2020 19:06:55"	"5c17a92da13b830001a82e75"	"Я согласен/на"	"target_f5"	"mizince"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 19:06:55"	"5c17a92da13b830001a82e75"	"Я согласен/на"	"target_h5"	"palce"	"палец"	"palets"	"finger"	0
"10/13/2020 19:33:28"	"5e1c4b52cd15fa441bc3bfce"	"Я согласен/на"	"target_f4"	"безымянном пальце левой ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 19:33:28"	"5e1c4b52cd15fa441bc3bfce"	"Я согласен/на"	"target_h4"	"безымянном пальце левой руки"	"безымянный палец руки"	"bezymyannyĭ palets ruki"	"nameless finger of the hand"	1
"10/13/2020 19:33:28"	"5e1c4b52cd15fa441bc3bfce"	"Я согласен/на"	"target_h1"	"большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 19:33:28"	"5e1c4b52cd15fa441bc3bfce"	"Я согласен/на"	"target_f1"	"большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 19:33:28"	"5e1c4b52cd15fa441bc3bfce"	"Я согласен/на"	"target_f5"	"мизинце правой ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 19:33:28"	"5e1c4b52cd15fa441bc3bfce"	"Я согласен/на"	"target_h5"	"мизинце левой руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"3/17/2021 11:49:14"	"5dbc61a0df0b4820e71a0e99"	"Я согласен/на"	"target_f4"	"ноге на пальце"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"3/17/2021 11:49:14"	"5dbc61a0df0b4820e71a0e99"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
